window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2009-2011,2010.0,TOV,tov,offense,-0.8095,0.1662,-1.1353,-0.4837
2012-2014,2013.0,TOV,tov,offense,-0.8351,0.1702,-1.1687,-0.5015
2015-2017,2016.0,TOV,tov,offense,-0.6794,0.158,-0.9891,-0.3698
2018-2020,2019.0,TOV,tov,offense,-0.6566,0.1763,-1.0021,-0.311
2021-2023,2022.0,TOV,tov,offense,-0.7189,0.164,-1.0403,-0.3975
2024-2026,2025.0,TOV,tov,offense,-0.8944,0.1597,-1.2073,-0.5815
1997-1999,1998.0,AST,ast,total,0.5941,0.0939,0.4101,0.7782
2000-2002,2001.0,AST,ast,total,0.5751,0.0871,0.4043,0.7458
2003-2005,2004.0,AST,ast,total,0.7497,0.0912,0.5709,0.9286
2006-2008,2007.0,AST,ast,total,0.5376,0.0868,0.3675,0.7076
2009-2011,2010.0,AST,ast,total,0.6232,0.0897,0.4474,0.7989
2012-2014,2013.0,AST,ast,total,0.5997,0.0886,0.426,0.7734
2015-2017,2016.0,AST,ast,total,0.6444,0.0891,0.4697,0.8191
2018-2020,2019.0,AST,ast,total,0.6608,0.0926,0.4794,0.8423
2021-2023,2022.0,AST,ast,total,0.6575,0.0907,0.4798,0.8352
2024-2026,2025.0,AST,ast,total,0.5701,0.0809,0.4115,0.7287
1997-1999,1998.0,BLK,blk,total,0.7482,0.174,0.4072,1.0893
2000-2002,2001.0,BLK,blk,total,0.8772,0.1773,0.5298,1.2247
2003-2005,2004.0,BLK,blk,total,1.0002,0.177,0.6532,1.3471
2006-2008,2007.0,BLK,blk,total,0.6256,0.1837,0.2656,0.9856
2009-2011,2010.0,BLK,blk,total,0.6174,0.2094,0.2069,1.0278
2012-2014,2013.0,BLK,blk,total,0.8068,0.2076,0.3999,1.2137
2015-2017,2016.0,BLK,blk,total,0.7728,0.2234,0.3351,1.2106
2018-2020,2019.0,BLK,blk,total,0.9588,0.2344,0.4994,1.4182
2021-2023,2022.0,BLK,blk,total,0.9937,0.2489,0.5058,1.4816
2024-2026,2025.0,BLK,blk,total,0.8217,0.2293,0.3724,1.2711
1997-1999,1998.0,DRB,drb,total,0.7056,0.1065,0.4967,0.9144
2000-2002,2001.0,DRB,drb,total,0.5993,0.1001,0.403,0.7956
2003-2005,2004.0,DRB,drb,total,0.3266,0.1047,0.1214,0.5319
2006-2008,2007.0,DRB,drb,total,0.4772,0.0998,0.2816,0.6729
2009-2011,2010.0,DRB,drb,total,0.5761,0.0939,0.3921,0.7602
2012-2014,2013.0,DRB,drb,total,0.3756,0.0938,0.1918,0.5594
2015-2017,2016.0,DRB,drb,total,0.3239,0.0903,0.147,0.5008
2018-2020,2019.0,DRB,drb,total,0.3041,0.0856,0.1363,0.4719
2021-2023,2022.0,DRB,drb,total,0.2816,0.0839,0.1173,0.446
2024-2026,2025.0,DRB,drb,total,0.4201,0.09,0.2436,0.5965
1997-1999,1998.0,2P miss,fg2_miss,total,-1.0647,0.1233,-1.3064,-0.823
2000-2002,2001.0,2P miss,fg2_miss,total,-0.7498,0.119,-0.983,-0.5166
2003-2005,2004.0,2P miss,fg2_miss,total,-0.8129,0.1203,-1.0486,-0.5771
2006-2008,2007.0,2P miss,fg2_miss,total,-0.8095,0.1169,-1.0386,-0.5803
2009-2011,2010.0,2P miss,fg2_miss,total,-0.8386,0.1217,-1.0771,-0.6001
2012-2014,2013.0,2P miss,fg2_miss,total,-0.8132,0.1108,-1.0303,-0.596
2015-2017,2016.0,2P miss,fg2_miss,total,-0.8723,0.122,-1.1113,-0.6332
2018-2020,2019.0,2P miss,fg2_miss,total,-0.6712,0.1268,-0.9197,-0.4227
2021-2023,2022.0,2P miss,fg2_miss,total,-0.7568,0.127,-1.0056,-0.5079
2024-2026,2025.0,2P miss,fg2_miss,total,-0.8727,0.1426,-1.1523,-0.5931
1997-1999,1998.0,2PM,fg2m,total,1.2124,0.1411,0.9358,1.4889
2000-2002,2001.0,2PM,fg2m,total,0.9211,0.1348,0.6569,1.1852
2003-2005,2004.0,2PM,fg2m,total,0.8901,0.144,0.608,1.1723
2006-2008,2007.0,2PM,fg2m,total,0.9496,0.1332,0.6886,1.2107
2009-2011,2010.0,2PM,fg2m,total,0.9408,0.1354,0.6755,1.2062
2012-2014,2013.0,2PM,fg2m,total,0.7049,0.1286,0.4527,0.957
2015-2017,2016.0,2PM,fg2m,total,0.8341,0.1362,0.5671,1.1012
2018-2020,2019.0,2PM,fg2m,total,0.5194,0.1337,0.2574,0.7814
2021-2023,2022.0,2PM,fg2m,total,0.7692,0.1247,0.5248,1.0137
2024-2026,2025.0,2PM,fg2m,total,0.7504,0.127,0.5015,0.9992
1997-1999,1998.0,3P miss,fg3_miss,total,0.2321,0.2478,-0.2535,0.7178
2000-2002,2001.0,3P miss,fg3_miss,total,-0.3379,0.2588,-0.8451,0.1693
2003-2005,2004.0,3P miss,fg3_miss,total,-0.2056,0.2702,-0.7352,0.324
2006-2008,2007.0,3P miss,fg3_miss,total,-0.3466,0.2418,-0.8206,0.1274
2009-2011,2010.0,3P miss,fg3_miss,total,-0.0482,0.2387,-0.5161,0.4198
2012-2014,2013.0,3P miss,fg3_miss,total,-0.1889,0.196,-0.5731,0.1953
2015-2017,2016.0,3P miss,fg3_miss,total,-0.4505,0.1886,-0.8201,-0.0809
2018-2020,2019.0,3P miss,fg3_miss,total,-0.4961,0.1791,-0.8471,-0.1451
2021-2023,2022.0,3P miss,fg3_miss,total,-0.5598,0.1678,-0.8887,-0.2308
2024-2026,2025.0,3P miss,fg3_miss,total,-0.4907,0.1645,-0.8131,-0.1683
1997-1999,1998.0,3PM,fg3m,total,0.0515,0.4205,-0.7727,0.8757
