side,feature,beta,se,run,window,window_mid,first_season,last_season,lam,label,sign_convention
D,blk,0.7165413397259549,0.11536512761233092,margin_bins,1997-1999,1998.0,1997,1999,7113.8,BLK (defense),D flipped: positive = good on both sides
D,pf,0.2438220143053057,0.07537273346776663,margin_bins,1997-1999,1998.0,1997,1999,7113.8,PF (defense),D flipped: positive = good on both sides
O,fg3m,1.2730280540620305,0.209591255622804,base,2000-2002,2001.0,2000,2002,7113.8,3PM (offense),D flipped: positive = good on both sides
O,fg3_miss,-0.06305653356917852,0.12441090344690532,base,2000-2002,2001.0,2000,2002,7113.8,3P miss (offense),D flipped: positive = good on both sides
O,fg2m,0.7650343861954568,0.07121940670920662,base,2000-2002,2001.0,2000,2002,7113.8,2PM (offense),D flipped: positive = good on both sides
O,fg2_miss,-0.4151350944767835,0.0615320991563397,base,2000-2002,2001.0,2000,2002,7113.8,2P miss (offense),D flipped: positive = good on both sides
O,ftm,0.6228191260258888,0.07037859383147067,base,2000-2002,2001.0,2000,2002,7113.8,FTM (offense),D flipped: positive = good on both sides
O,ft_miss,-0.23334005532254706,0.15517320809988971,base,2000-2002,2001.0,2000,2002,7113.8,FT miss (offense),D flipped: positive = good on both sides
O,orb,0.38772884381271533,0.09662457704427467,base,2000-2002,2001.0,2000,2002,7113.8,ORB (offense),D flipped: positive = good on both sides
O,drb,0.05351476331653986,0.06079369515099897,base,2000-2002,2001.0,2000,2002,7113.8,DRB (offense),D flipped: positive = good on both sides
O,ast,0.3615784751309944,0.05167481213707394,base,2000-2002,2001.0,2000,2002,7113.8,AST (offense),D flipped: positive = good on both sides
O,tov,-1.0119985843944743,0.13774857911924474,base,2000-2002,2001.0,2000,2002,7113.8,TOV (offense),D flipped: positive = good on both sides
O,stl,0.522285851045607,0.17930326363067503,base,2000-2002,2001.0,2000,2002,7113.8,STL (offense),D flipped: positive = good on both sides
O,blk,-0.12886839336100242,0.1100474533755316,base,2000-2002,2001.0,2000,2002,7113.8,BLK (offense),D flipped: positive = good on both sides
O,pf,-0.35573299299279804,0.06625152668065912,base,2000-2002,2001.0,2000,2002,7113.8,PF (offense),D flipped: positive = good on both sides
D,fg3m,-0.28973158371695057,0.2221527514539596,base,2000-2002,2001.0,2000,2002,7113.8,3PM (defense),D flipped: positive = good on both sides
D,fg3_miss,-0.030478824939243254,0.1318627963935071,base,2000-2002,2001.0,2000,2002,7113.8,3P miss (defense),D flipped: positive = good on both sides
D,fg2m,0.12758637112989413,0.07593635484998658,base,2000-2002,2001.0,2000,2002,7113.8,2PM (defense),D flipped: positive = good on both sides
D,fg2_miss,-0.3475805978604132,0.06593679914077881,base,2000-2002,2001.0,2000,2002,7113.8,2P miss (defense),D flipped: positive = good on both sides
D,ftm,0.21650442678911386,0.07523814348325551,base,2000-2002,2001.0,2000,2002,7113.8,FTM (defense),D flipped: positive = good on both sides
D,ft_miss,-0.19077451775637047,0.16724389245300725,base,2000-2002,2001.0,2000,2002,7113.8,FT miss (defense),D flipped: positive = good on both sides
D,orb,-0.12366406384199785,0.10286583629638844,base,2000-2002,2001.0,2000,2002,7113.8,ORB (defense),D flipped: positive = good on both sides
D,drb,0.5084919236945701,0.06369306625471079,base,2000-2002,2001.0,2000,2002,7113.8,DRB (defense),D flipped: positive = good on both sides
D,ast,0.05395195332921705,0.054824170183839276,base,2000-2002,2001.0,2000,2002,7113.8,AST (defense),D flipped: positive = good on both sides
D,tov,-0.4570890376688944,0.1490356433330532,base,2000-2002,2001.0,2000,2002,7113.8,TOV (defense),D flipped: positive = good on both sides
D,stl,1.5201322638405177,0.1934274765064846,base,2000-2002,2001.0,2000,2002,7113.8,STL (defense),D flipped: positive = good on both sides
D,blk,0.9652652415170158,0.1165594071619441,base,2000-2002,2001.0,2000,2002,7113.8,BLK (defense),D flipped: positive = good on both sides
D,pf,0.05582687700596161,0.07072528091771148,base,2000-2002,2001.0,2000,2002,7113.8,PF (defense),D flipped: positive = good on both sides
O,fg3m,1.306616599749669,0.1907007392018144,lam_x3,2000-2002,2001.0,2000,2002,21341.4,3PM (offense),D flipped: positive = good on both sides
O,fg3_miss,-0.0889878772148481,0.11287130739989146,lam_x3,2000-2002,2001.0,2000,2002,21341.4,3P miss (offense),D flipped: positive = good on both sides
O,fg2m,0.7907411184172043,0.06404643357013014,lam_x3,2000-2002,2001.0,2000,2002,21341.4,2PM (offense),D flipped: positive = good on both sides
O,fg2_miss,-0.42886795577060877,0.05494567856749817,lam_x3,2000-2002,2001.0,2000,2002,21341.4,2P miss (offense),D flipped: positive = good on both sides
O,ftm,0.625923835465158,0.06305812833347423,lam_x3,2000-2002,2001.0,2000,2002,21341.4,FTM (offense),D flipped: positive = good on both sides
O,ft_miss,-0.2316951838045701,0.13680731445691405,lam_x3,2000-2002,2001.0,2000,2002,21341.4,FT miss (offense),D flipped: positive = good on both sides
